Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR39139285	14.562100000000001	94.976	1453.154826	10.333575999999999	58.504400000000004	96.76596994307299	95.5165484026998	0.25360204424860305	150.0	150.0						
SRR39139285_1											21.92251374985021	58.0	148.8184017807582	150	0.0	5.1667879999999995
SRR39139285_2											22.681395734332042	58.0	148.2672661429112	150	0.0	5.1667879999999995
SRR39146138	13.909199999999998	94.8854	1512.626123	10.777161999999999	59.76669999999999	96.67714427705386	95.33673568613098	0.5366007689561322	150.0	150.0						
SRR39146138_1											23.206398547496775	59.0	148.71051469765416	150	0.0	5.388580999999999
SRR39146138_2											23.29382679411121	59.0	148.08420834724393	150	0.0	5.388580999999999
SRR39146893	14.8124	94.6467	1312.469694	9.373088	60.1561	96.35893505100714	95.03901521880493	0.20135158252104599	150.0	150.0						
SRR39146893_1											21.75639594405972	60.0	148.83103466008214	150	0.0	4.686544
SRR39146893_2											22.026154432320624	60.0	148.01671466223297	150	0.0	4.686544
SRR39146894	14.965700000000002	94.9677	1360.25152	9.676936	59.4889	96.59030090019122	95.31197625841216	0.3541235258078574	150.0	150.0						
SRR39146894_1											21.757986534446587	59.0	148.80884135226273	150	0.0	4.838468
SRR39146894_2											22.291705927813183	59.0	148.17911340945108	150	0.0	4.838468
SRR39146895	14.4654	94.8004	1433.575947	10.227756	60.1243	96.6770397517719	95.29324398402339	0.3491912793490535	150.0	150.0						
SRR39146895_1											23.618483972836543	60.0	148.71946818050802	150	0.0	5.113878
SRR39146895_2											23.975952811752634	60.0	147.9408953440031	150	0.0	5.113878
SRR39146896	13.859499999999999	94.45559999999999	1204.390498	8.62895	59.5687	96.23240533783469	94.80078338025838	0.2942638730371721	150.0	150.0						
SRR39146896_1											20.813012152223592	59.0	148.68498994663312	150	0.0	4.314475
SRR39146896_2											21.40139425394993	59.0	147.80468747646006	150	0.0	4.314475
SRR39146897	15.7169	94.8224	1404.0218579999998	10.014365999999999	59.9681	96.43563277143221	95.05736294873094	0.3612111425981857	150.0	150.0						
SRR39146897_1											23.4932742940029	59.0	148.70444359632953	150	0.0	5.0071829999999995
SRR39146897_2											24.08566625643826	59.0	147.96232372573562	150	0.0	5.0071829999999995
SRR39146898	14.7839	94.8835	1490.55116	10.617248	59.6382	96.68369117089165	95.36879005209948	0.3052973265949249	150.0	150.0						
SRR39146898_1											23.59521800707894	59.0	148.74864880240153	150	0.0	5.308624
SRR39146898_2											24.00395241106814	59.0	148.12826139127577	150	0.0	5.308624
SRR39146899	14.230699999999999	94.6348	1221.02817	8.723571999999999	59.9259	96.44933176483075	95.10174245305548	0.2882786863496051	150.0	150.0						
SRR39146899_1											21.152215083373264	59.0	148.75122518619668	150	0.0	4.3617859999999995
SRR39146899_2											21.782791396113865	59.0	148.01301301806186	150	0.0	4.3617859999999995
SRR39146900	13.770199999999999	95.04740000000001	1444.009402	10.2614	59.058	96.87791668012011	95.62176928062257	0.39516265622265057	150.0	150.0						
SRR39146900_1											22.58632967941618	59.0	148.7722027208763	150	0.0	5.1307
SRR39146900_2											23.180171468025108	59.0	148.29566355468066	150	0.0	5.1307
